Rank,Species (50 CFR Part 17),Status,"Species Total($)","CumulativeTotal ($)","CumulativePercent"
1,"Sea-lion, Steller (Eumetopias jubatus)","E,T","55,998,075","55,998,075",7.79
2,"Salmon, chinookspring/summer Snake R. (Oncorhynchus (=Salmo) tshawytscha)",T,"36,105,300","92,103,375",12.81
3,"Steelheadmiddle Columbia R. (Oncorhynchus (=Salmo) mykiss)",T,"31,460,147","123,563,522",17.18
4,"SteelheadSnake R. Basin (Oncorhynchus (=Salmo) mykiss)",T,"28,563,900","152,127,422",21.15
5,"Trout, bull (Salvelinus confluentus)",T,"27,268,204","179,395,626",24.94
6,"Salmon, cohoOR, CA pop. (Oncorhynchus (=Salmo) kisutch)",T,"24,721,640","204,117,266",28.38
7,"Salmon, chinookfall Snake R. (Oncorhynchus (=Salmo) tshawytscha)",T,"22,191,804","226,309,070",31.47
8,"Steelheadupper Columbia R. Basin (Oncorhynchus (=Salmo) mykiss)",E,"17,894,865","244,203,935",33.95
9,"Salmon, sockeyeU.S.A. (Snake River, ID stock wherever found. (Oncorhynchus(=Salmo) nerka)",E,"17,264,277","261,468,212",36.35
10,"Salmon, chinookupper Willamette R. (Oncorhynchus (=Salmo) tshawytscha)",T,"14,937,800","276,406,012",38.43
11,"Salmon, chinookspring upper Columbia R. (Oncorhynchus (=Salmo) tshawytscha)",T,"13,445,459","289,851,471",40.3
12,"Salmon, chumColumbia R. (Oncorhynchus (=Salmo) keta)",T,"12,973,377","302,824,848",42.1
13,"Salmon, chinookPuget Sound (Oncorhynchus (=Salmo) tshawytscha)",T,"12,504,395","315,329,243",43.84
14,"Steelheadlower Columbia R. (Oncorhynchus (=Salmo) mykiss)",T,"11,943,500","327,272,743",45.5
15,"Salmon, chinookwinter Sacramento R. (Oncorhynchus (=Salmo) tshawytscha)",E,"11,061,497","338,334,240",47.04
16,"Salmon, chinooklower Columbia R. (Oncorhynchus (=Salmo) tshawytscha)",T,"9,693,600","348,027,840",48.39
17,"Steelheadnorthern CA (Oncorhynchus (=Salmo) mykiss)",T,"9,546,600","357,574,440",49.72
18,"Steelheadupper Willamette R. (Oncorhynchus (=Salmo) mykiss)",T,"9,242,840","366,817,280",51.0
19,"Tortoise, desert (Gopherus agassizii)",T,"8,589,773","375,407,053",52.2
20,"Manatee, West Indian (Trichechus manatus)",E,"8,571,448","383,978,501",53.39
21,"Whale, right (Balaena glacialis (incl. australis))",E,"8,392,531","392,371,032",54.56
22,"Minnow, Rio Grande silvery (Hybognathus amarus)",E,"8,357,200","400,728,232",55.72
23,"Sucker, Lost River (Deltistes luxatus)",E,"8,019,777","408,748,009",56.83
24,"Sucker, shortnose (Chasmistes brevirostris)",E,"7,913,485","416,661,494",57.93
25,"Woodpecker, red-cockaded (Picoides borealis)",E,"7,834,771","424,496,265",59.02
26,"Sucker, razorback (Xyrauchen texanus)",E,"7,662,103","432,158,368",60.09
27,"Flycatcher, southwestern willow (Empidonax traillii extimus)",E,"7,069,597","439,227,965",61.07
28,"Pikeminnow (=squawfish), Colorado (Ptychocheilus lucius)",E,"6,885,603","446,113,568",62.03
29,"Salmon, AtlanticGulf of Maine Atlantic Salmon DPS (Salmo salar)",E,"6,746,600","452,860,168",62.97
30,"Eagle, bald (Haliaeetus leucocephalus)",T,"6,671,736","459,531,904",63.89
31,"Sturgeon, pallid (Scaphirhynchus albus)",E,"6,663,320","466,195,224",64.82
32,"SteelheadCentral Valley CA (Oncorhynchus (=Salmo) mykiss)",T,"6,310,037","472,505,261",65.7
33,"Salmon, chinookCA coastal (Oncorhynchus (=Salmo) tshawytscha)",T,"6,069,583","478,574,844",66.54
34,"Owl, Mexican spotted (Strix occidentalis lucida)",T,"6,064,319","484,639,163",67.38
35,"Salmon, chinookCA Central Valley spring-run (Oncorhynchus (=Salmo) tshawytscha)",T,"6,056,720","490,695,883",68.23
36,"Salmon, sockeyeU.S.A. (Ozette Lake, WA (Oncorhynchus (=Salmo) nerka)",T,"5,880,082","496,575,965",69.04
37,"Sparrow, Cape Sable seaside (Ammodramus maritimus mirabilis)",E,"5,772,100","502,348,065",69.85
38,"Panther, Florida (Puma (=Felis) concolor coryi)",E,"5,768,144","508,116,209",70.65
39,"Salmon, cohocentral CA coast (Oncorhynchus (=Salmo) kisutch)",T,"5,577,402","513,693,611",71.42
40,"Sturgeon, white (Acipenser transmontanus)",E,"5,518,600","519,212,211",72.19
41,"Crane, whooping (Grus americana)",E,"5,474,364","524,686,575",72.95
42,"Bear, Louisiana black (Ursus americanus luteolus)",T,"5,284,289","529,970,864",73.69
43,"Steelheadcentral CA coast (Oncorhynchus (=Salmo) mykiss)",T,"5,036,800","535,007,664",74.39
44,"Salmon, chumsummer-run Hood Canal (Oncorhynchus (=Salmo) keta)",T,"5,022,445","540,030,109",75.09
45,"Steelheadsouth central CA coast (Oncorhynchus (=Salmo) mykiss)",T,"4,917,800","544,947,909",75.77
46,"Steelheadsouthern CA coast (Oncorhynchus (=Salmo) mykiss)",E,"4,901,000","549,848,909",76.45
47,"Trout, Lahontan cutthroat (Oncorhynchus clarki henshawi)",T,"4,625,777","554,474,686",77.09
48,"Chub, humpback (Gila cypha)",E,"4,583,265","559,057,951",77.73
49,"Sea turtle, loggerhead (Caretta caretta)",T,"4,570,623","563,628,574",78.37
50,"Plover, piping (Charadrius melodus)","E,T","4,446,694","568,075,268",78.99
51,"Owl, northern spotted (Strix occidentalis caurina)",T,"4,257,462","572,332,730",79.58
52,"Murrelet, marbled (Brachyramphus marmoratus marmoratus)",T,"4,121,045","576,453,775",80.15
53,"Wolf, gray (Canis lupus)","E,T","3,983,989","580,437,764",80.7
54,"Sea turtle, green (Chelonia mydas)","E,T","3,779,323","584,217,087",81.23
55,"Chub, bonytail (Gila elegans)",E,"3,438,965","587,656,052",81.71
56,"Bear, grizzly (Ursus arctos horribilis)",T,"3,355,753","591,011,805",82.17
57,"Tern, least (Sterna antillarum)",E,"3,195,945","594,207,750",82.62
58,"Sea turtle, olive ridley (Lepidochelys olivacea)","E,T","2,883,589","597,091,339",83.02
59,"Vireo, black-capped (Vireo atricapilla)",E,"2,859,450","599,950,789",83.42
60,Cui-ui (Chasmistes cujus),E,"2,802,590","602,753,379",83.81
61,"Warbler (=wood), golden-cheeked (Dendroica chrysoparia)",E,"2,714,435","605,467,814",84.18
62,"Bat, Indiana (Myotis sodalis)",E,"2,654,695","608,122,509",84.55
63,"Sea turtle, Kemp's ridley (Lepidochelys kempii)",E,"2,355,189","610,477,698",84.88
64,"Plover, western snowy (Charadrius alexandrinus nivosus)",T,"2,337,776","612,815,474",85.21
65,"Lynx, Canada (Lynx canadensis)",T,"2,296,677","615,112,151",85.53
66,"Seal, Hawaiian monk (Monachus schauinslandi)",E,"2,197,280","617,309,431",85.83
67,"Sea turtle, hawksbill (Eretmochelys imbricata)",E,"2,130,802","619,440,233",86.13
68,"Condor, California (Gymnogyps californianus)",E,"2,029,348","621,469,581",86.41
69,"Sea turtle, leatherback (Dermochelys coriacea)",E,"1,859,198","623,328,779",86.67
70,"Ceanothus, Pine Hill (Ceanothus roderickii)",E,"1,850,000","625,178,779",86.92
71,"Morning-glory, Stebbins' (Calystegia stebbinsii)",E,"1,845,000","627,023,779",87.18
72,"Bedstraw, El Dorado (Galium californicum ssp. sierrae)",E,"1,842,000","628,865,779",87.44
73,Palila (honeycreeper) (Loxioides bailleui),E,"1,809,102","630,674,881",87.69
74,"Ferret, black-footed (Mustela nigripes)",E,"1,758,227","632,433,108",87.93
75,"Bat, gray (Myotis grisescens)",E,"1,637,266","634,070,374",88.16
76,"Darter, Okaloosa (Etheostoma okaloosae)",E,"1,607,550","635,677,924",88.38
77,"Rabbit, riparian brush (Sylvilagus bachmani riparius)",E,"1,537,000","637,214,924",88.6
78,"Jay, Florida scrub (Aphelocoma coerulescens)",T,"1,476,917","638,691,841",88.8
79,"Parrot, Puerto Rican (Amazona vittata)",E,"1,472,013","640,163,854",89.01
80,"Sturgeon, shortnose (Acipenser brevirostrum)",E,"1,350,305","641,514,159",89.2
81,"Mouse, Alabama beach (Peromyscus polionotus ammobates)",E,"1,318,000","642,832,159",89.38
82,"Vireo, least Bell's (Vireo bellii pusillus)",E,"1,127,705","643,959,864",89.54
83,"Otter, southern sea (Enhydra lutris nereis)",T,"1,066,000","645,025,864",89.68
84,"Shiner, Pecos bluntnose (Notropis simus pecosensis)",T,"1,056,100","646,081,964",89.83
85,"Mouse, Preble's meadow jumping (Zapus hudsonius preblei)",T,"1,051,480","647,133,444",89.98
86,"Pronghorn, Sonoran (Antilocapra americana sonoriensis)",E,"1,024,300","648,157,744",90.12
87,"Sturgeon, gulf (Acipenser oxyrinchus desotoi)",T,"1,022,409","649,180,153",90.26
88,"Wolf, red (Canis rufus)",E,"976,500","650,156,653",90.4
89,"Crow, Mariana (=aga) (Corvus kubaryi)",E,"939,200","651,095,853",90.53
90,"Whale, humpback (Megaptera novaeangliae)",E,"889,506","651,985,359",90.65
91,"Tortoise, gopher (Gopherus polyphemus)",T,"885,200","652,870,559",90.78
92,"Tern, California least (Sterna antillarum browni)",E,"865,027","653,735,586",90.9
93,"Frog, California red-legged (Rana aurora draytonii)",T,"860,160","654,595,746",91.01
94,"Snake, giant garter (Thamnophis gigas)",T,"857,900","655,453,646",91.13
95,Higgins eye (pearlymussel) (Lampsilis higginsii),E,"772,278","656,225,924",91.24
96,"Chub, Virgin River (Gila seminuda (=robusta))",E,"742,430","656,968,354",91.34
97,"Mint, Lakela's (Dicerandra immaculata)",E,"735,900","657,704,254",91.45
98,"Stork, wood (Mycteria americana)",E,"713,251","658,417,505",91.55
99,"Butterfly, Karner blue (Lycaeides melissa samuelis)",E,"701,739","659,119,244",91.64
100,"Eider, Steller's (Polysticta stelleri)",T,"697,450","659,816,694",91.74
101,"Eider, spectacled (Somateria fischeri)",T,"686,700","660,503,394",91.84
102,"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)",T,"643,845","661,147,239",91.93
103,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus)",E,"640,900","661,788,139",92.01
104,"Goose, Hawaiian (Branta (=Nesochen) sandvicensis)",E,"603,417","662,391,556",92.1
105,"Fox, San Joaquin kit (Vulpes macrotis mutica)",E,"599,150","662,990,706",92.18
106,"Warbler (=wood), Kirtland's (Dendroica kirtlandii)",E,"587,269","663,577,975",92.26
107,"Pygmy-owl, cactus ferruginous (Glaucidium brasilianum cactorum)",E,"581,463","664,159,438",92.34
108,"Shiner, Topeka (Notropis topeka (=tristis))",E,"577,158","664,736,596",92.42
109,"Frog, mountain yellow-legged (Rana muscosa)",E,"562,600","665,299,196",92.5
110,"Sheep, bighorn (Ovis canadensis)",E,"562,217","665,861,413",92.58
111,"Sucker, June (Chasmistes liorus)",E,"550,700","666,412,113",92.66
112,"Fairy shrimp, vernal pool (Branchinecta lynchi)",T,"512,600","666,924,713",92.73
