Rank,Species (50 CFR Part 17),Status,Species Total,Cumulative Total
1,"Sturgeon, pallid (Scaphirhynchus albus)",E,"$38,892,982","$38,892,982"
2,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)spring/summer Snake R.",T,"$38,540,898","$77,433,880"
3,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)fall Snake R.",T,"$34,188,890","$111,622,770"
4,"Steelhead (Oncorhynchus (=Salmo) mykiss)middle Columbia R.",T,"$32,032,545","$143,655,315"
5,"Steelhead (Oncorhynchus (=Salmo) mykiss)Snake R. Basin",T,"$31,169,604","$174,824,919"
6,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)spring upper Columbia R.",E,"$27,241,805","$202,066,724"
7,"Steelhead (Oncorhynchus (=Salmo) mykiss)upper Columbia R. Basin",T,"$25,840,140","$227,906,864"
8,"Sea-lion, Steller (Eumetopias jubatus)western pop.",E,"$24,791,913","$252,698,777"
9,"Trout, bull (Salvelinus confluentus)U.S.A., conterminous, lower 48 states",T,"$23,863,886","$276,562,663"
10,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)OR, CA pop.",T,"$20,310,735","$296,873,398"
11,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)winter Sacramento R.",E,"$20,247,212","$317,120,610"
12,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)CA Central Valley spring-run",T,"$19,799,558","$336,920,168"
13,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)Puget Sound",T,"$17,951,332","$354,871,500"
14,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka)U.S.A. (Snake River, ID stock wherever found.)",E,"$17,744,147","$372,615,647"
15,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)lower Columbia R.",T,"$16,688,630","$389,304,277"
16,"Flycatcher, southwestern willow (Empidonax traillii extimus)",E,"$14,668,834","$403,973,111"
17,"Woodpecker, red-cockaded (Picoides borealis)",E,"$13,875,377","$417,848,488"
18,"Tortoise, gopher (Gopherus polyphemus)W of of Mobile/Tombigbee Rs.",T,"$13,348,459","$431,196,947"
19,"Steelhead (Oncorhynchus (=Salmo) mykiss)lower Columbia R.",T,"$13,096,409","$444,293,356"
20,"Eagle, bald (Haliaeetus leucocephalus)lower 48 States",T,"$12,309,254","$456,602,610"
21,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)Lower Columbia River",T,"$11,216,106","$467,818,716"
22,"Tortoise, desert (Gopherus agassizii)U.S.A., except in Sonoran Desert",T,"$10,547,873","$478,366,589"
23,"Sucker, razorback (Xyrauchen texanus)entire",E,"$10,540,595","$488,907,184"
24,"Manatee, West Indian (Trichechus manatus)",E,"$9,737,769","$498,644,953"
25,"Minnow, Rio Grande silvery (Hybognathus amarus)",E,"$9,701,954","$508,346,907"
26,"Pikeminnow (=squawfish), Colorado (Ptychocheilus lucius)except Salt and Verde R. drainages, AZ",E,"$9,670,160","$518,017,067"
27,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)upper Willamette R.",T,"$9,616,276","$527,633,343"
28,"Whale, right (Balaena glacialis (incl. australis))",E,"$9,349,875","$536,983,218"
29,"Sturgeon, white (Acipenser transmontanus)U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system",E,"$9,113,933","$546,097,151"
30,"Steelhead (Oncorhynchus (=Salmo) mykiss)upper Willamette R.",T,"$8,670,405","$554,767,556"
31,"Plover, piping (Charadrius melodus)except Great Lakes watershed",T,"$7,836,680","$562,604,236"
32,"Chub, humpback (Gila cypha)entire",E,"$7,410,806","$570,015,042"
33,"Bear, grizzly (Ursus arctos horribilis)lower 48 States, except where listed as an experimental population ordelisted",T,"$6,851,086","$576,866,128"
34,"Salmon, chum (Oncorhynchus (=Salmo) keta)Columbia R.",T,"$6,825,799","$583,691,927"
35,"Sea turtle, leatherback (Dermochelys coriacea)",E,"$6,824,249","$590,516,176"
36,"Sea turtle, loggerhead (Caretta caretta)",T,"$6,791,863","$597,308,039"
37,"Tern, least (Sterna antillarum)interior pop.",E,"$6,577,825","$603,885,864"
38,"Salmon, Atlantic (Salmo salar)Gulf of Maine Atlantic Salmon DPS",E,"$6,177,575","$610,063,439"
39,"Owl, northern spotted (Strix occidentalis caurina)",T,"$6,109,964","$616,173,403"
40,"Crane, whooping (Grus americana)except where EXPN",E,"$5,987,523","$622,160,926"
41,"Chub, bonytail (Gila elegans)entire",E,"$5,733,982","$627,894,908"
42,"Steelhead (Oncorhynchus (=Salmo) mykiss)Central Valley CA",T,"$5,718,233","$633,613,141"
43,"Sea-lion, Steller (Eumetopias jubatus)eastern pop.",T,"$5,712,509","$639,325,650"
44,"Salmon, chum (Oncorhynchus (=Salmo) keta)summer-run Hood Canal",T,"$4,887,292","$644,212,942"
45,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka)U.S.A. (Ozette Lake, WA)",T,"$4,741,473","$648,954,415"
46,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)CA coastal",T,"$4,724,656","$653,679,071"
47,"Wolf, gray (Canis lupus)Lower 48 States, except where delisted and where EXPN. Mexico.",E,"$4,308,275","$657,987,346"
48,"Bat, Indiana (Myotis sodalis)",E,"$4,179,484","$662,166,830"
49,"Lynx, Canada (Lynx canadensis)lower 48 States DPS",T,"$4,057,162","$666,223,992"
50,"Steelhead (Oncorhynchus (=Salmo) mykiss)central CA coast",T,"$4,053,317","$670,277,309"
51,"Steelhead (Oncorhynchus (=Salmo) mykiss)northern CA",T,"$4,047,557","$674,324,866"
52,"Whale, bowhead (Balaena mysticetus)",E,"$4,020,096","$678,344,962"
53,"Sucker, Lost River (Deltistes luxatus)",E,"$3,958,514","$682,303,476"
54,"Whale, humpback (Megaptera novaeangliae)",E,"$3,920,313","$686,223,789"
55,"Sucker, shortnose (Chasmistes brevirostris)",E,"$3,755,014","$689,978,803"
56,"Sea turtle, Kemp's ridley (Lepidochelys kempii)",E,"$3,753,258","$693,732,061"
57,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)central CA coast",E,"$3,614,670","$697,346,731"
58,Steelhead (Oncorhynchus (=Salmo) mykiss),E,"$3,163,435","$700,510,166"
,southern CA coast,,,
59.0,"Sea turtle, green (Chelonia mydas)except where endangered",T,"$3,068,067","$703,578,233"
60.0,"Stork, wood (Mycteria americana)AL, FL, GA, SC",E,"$3,005,638","$706,583,871"
61.0,"Plover, western snowy (Charadrius alexandrinus nivosus)Pacific coastal pop.",T,"$2,897,722","$709,481,593"
62.0,"Smelt, delta (Hypomesus transpacificus)",T,"$2,881,714","$712,363,307"
63.0,"Panther, Florida (Puma (=Felis) concolor coryi)",E,"$2,864,132","$715,227,439"
64.0,"Seal, Hawaiian monk (Monachus schauinslandi)",E,"$2,839,166","$718,066,605"
65.0,"Steelhead (Oncorhynchus (=Salmo) mykiss)south central CA coast",T,"$2,814,822","$720,881,427"
66.0,"Trout, Lahontan cutthroat (Oncorhynchus clarki henshawi)",T,"$2,614,574","$723,496,001"
67.0,"Jay, Florida scrub (Aphelocoma coerulescens)",T,"$2,587,062","$726,083,063"
68.0,"Sparrow, Cape Sable seaside (Ammodramus maritimus mirabilis)",E,"$2,586,012","$728,669,075"
69.0,"Owl, Mexican spotted (Strix occidentalis lucida)",T,"$2,373,182","$731,042,257"
70.0,"Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus)",T,"$2,298,612","$733,340,869"
71.0,"Frog, California red-legged (Rana aurora draytonii)subspecies range clarified",T,"$2,236,288","$735,577,157"
72.0,"Sea turtle, hawksbill (Eretmochelys imbricata)",E,"$2,102,828","$737,679,985"
73.0,"Murrelet, marbled (Brachyramphus marmoratus)CA, OR, WA",T,"$2,067,907","$739,747,892"
